"","cexp","cobs_CIlow","cobs_CIHigh","kappa_CIlow","kappa_CIHigh"
"72",0.72225054359289,0.6875,0.7625,-0.119360365505426,0.136212624584717
"73",0.732359725046043,0.7,0.76875,-0.126760563380282,0.143876337693223
"74",0.742359589108644,0.7125,0.78125,-0.125748502994012,0.139013452914799
"75",0.752308903111971,0.71875,0.7875,-0.120099564405725,0.144654088050314
"76",0.762717303473541,0.73125,0.8,-0.121251629726206,0.157062891010866
"77",0.773127888247446,0.74375,0.80625,-0.130254996554101,0.141868512110726
"78",0.782989330513548,0.75625,0.81875,-0.133720930232558,0.153737658674189
"79",0.792676979293859,0.76875,0.825,-0.128048780487804,0.164179104477612
"80",0.802670943521544,0.775,0.83125,-0.121794871794871,0.14826498422713
"81",0.812865278873988,0.7875,0.84375,-0.114754098360656,0.156118143459916
